y_ticks,power,power_low,power_up
5,0.014,0.014,0.018
5.5,0.091,0.082,0.1
6,0.224,0.215,0.236
6.5,0.496,0.484,0.511
7,0.623,0.601,0.631
7.5,0.732,0.724,0.74
8,0.74,0.737,0.743
8.5,0.59,0.585,0.596
9,0.415,0.407,0.433
9.5,0.257,0.253,0.26
10,0.161,0.155,0.169
10.5,0.064,0.061,0.067
11,0.036,0.033,0.037
11.5,0.014,0.013,0.014
12,0.004,,
12.5,0,,
13,0,,
13.5,0.004,,
14,0.007,0.007,0.008
14.5,0.009,,
15,0.009,,
14.5,0.009,,
14,0.008,,
13.5,0.004,,
13,0.001,,
12.5,0,,
12,0.001,,
11.5,0.011,0.011,0.012
11,0.029,,
10.5,0.069,0.067,0.072
10,0.136,0.13,0.142
9.5,0.265,0.249,0.282
9,0.457,0.438,0.465
8.5,0.555,0.544,0.542
8,0.662,0.657,0.671
7.5,0.739,0.738,0.743
7,0.573,0.568,0.591
6.5,0.457,0.44,0.476
6,0.373,0.369,0.39
5.5,0.035,0.033,0.038
5,0.015,0.015,0.016
4.5,0.098,0.076,0.106
4,0.276,0.262,0.282
3.5,0.383,0.379,0.391
3,0.425,0.423,0.426
2.5,0.404,0.399,0.411
2,0.324,0.314,0.33
1.5,0.282,0.271,0.287
1,0.195,0.185,0.2
0.5,0.107,0.106,0.111
0,0.082,0.081,0.084
-0.5,0.072,0.071,0.073
-1,0.051,0.05,0.052
-1.5,0.045,,
-2,0.044,,
-2.5,0.044,,
-3,0.042,,
-3.5,0.038,,
-4,0.031,,
-4.5,0.026,0.026,0.027
-5,0.023,,
-4.5,0.033,0.031,0.033
-4,0.038,0.037,0.039
-3.5,0.042,,
-3,0.043,,
-2.5,0.044,,
-2,0.046,0.046,0.047
-1.5,0.059,0.058,0.059
-1,0.088,0.087,0.09
-0.5,0.122,0.119,0.123
0,0.162,0.159,0.168
0.5,0.238,0.233,0.248
1,0.28,0.271,0.286
1.5,0.368,0.364,0.371
2,0.392,0.391,0.394
2.5,0.402,0.398,0.407
3,0.371,0.361,0.77
3.5,0.273,0.262,0.28
4,0.146,0.131,0.171
4.5,0.071,0.068,0.084
5,0.065,0.059,0.078
5.5,0.147,0.133,0.155
6,0.338,0.317,0.348
6.5,0.448,0.42,0.455
7,0.748,0.742,0.754
7.5,0.757,0.757,0.758
8,0.686,0.676,0.701
8.5,0.571,0.555,0.586
9,0.374,0.366,0.391
9.5,0.325,0.312,0.337
10,0.157,0.149,0.163
10.5,0.085,0.079,0.092
11,0.032,0.029,0.034
11.5,0.003,,
12,0.004,,
12.5,0.001,,
13,0,,
13.5,0.002,0.002,0.003
14,0.006,,
14.5,0.008,,
15,0.008,,
14.5,0.006,,
14,0.005,,
13.5,0.002,0.002,0.003
13,0,,
12.5,0,,
12,0.006,,
11.5,0.012,,
11,0.041,0.038,0.041
10.5,0.104,0.092,0.109
10,0.196,0.188,0.205
9.5,0.356,0.33,0.362
9,0.521,0.494,0.527
8.5,0.658,0.648,0.662
8,0.76,0.758,0.762
7.5,0.692,0.668,0.702
7,0.452,0.433,0.469
6.5,0.259,0.241,0.27
6,0.121,0.107,0.13
5.5,0.056,0.044,0.063
5,0.027,0.023,0.032
4.5,0.066,0.058,0.07
4,0.396,0.392,0.403
3.5,0.404,0.393,0.411
3,0.417,0.416,0.42
2.5,0.365,0.359,0.366
2,0.313,0.308,0.32
1.5,0.218,0.211,0.222
1,0.161,0.158,0.165
0.5,0.153,0.141,0.158
0,0.087,0.086,0.091
-0.5,0.058,0.057,0.06
-1,0.054,0.054,0.055
-1.5,0.053,0.053,0.054
-2,0.043,0.043,0.044
-2.5,0.043,0.043,0.044
-3,0.042,0.042,0.043
-3.5,0.038,,
-4,0.033,,
-4.5,0.031,,
-5,0.028,,
-4.5,0.039,,
-4,0.04,,
-3.5,0.042,,
-3,0.043,,
-2.5,0.044,,
-2,0.044,0.044,0.045
-1.5,0.049,0.049,0.05
-1,0.061,0.06,0.062
-0.5,0.094,0.089,0.096
0,0.132,0.128,0.136
0.5,0.176,0.171,0.179
1,0.235,0.231,0.245
1.5,0.282,0.275,0.29
2,0.336,0.328,0.34
2.5,0.396,0.393,0.401
3,0.373,0.365,0.38
3.5,0.33,0.327,0.335
4,0.261,0.254,0.269
4.5,0.169,0.151,0.174
5,0.028,0.024,0.035
